table_name,column_index,label,domain,column_type
Book_arhibook.ru_September2020_CTA.json.gz,4,BookFormatType,Book,textual
Book_arsedition.de_September2020_CTA.json.gz,4,Language,Book,textual
Book_art-books.com_September2020_CTA.json.gz,4,ItemAvailability,Book,textual
Book_artbookmagazine.com_September2020_CTA.json.gz,7,Language,Book,textual
Book_arteplural.pt_September2020_CTA.json.gz,2,Date,Book,date
Book_artisanbooksandbindery.com_September2020_CTA.json.gz,7,ItemAvailability,Book,textual
Book_asiabookroom.com_September2020_CTA.json.gz,5,ItemAvailability,Book,textual
Book_atlantavintagebooks.com_September2020_CTA.json.gz,7,ItemAvailability,Book,textual
Book_attorneylombardo.com_September2020_CTA.json.gz,3,Number,Book,numerical
Book_audiobooki.com_September2020_CTA.json.gz,2,currency,Book,textual
Book_audiolibrix.de_September2020_CTA.json.gz,1,Language,Book,textual
Book_autorenwelt.de_September2020_CTA.json.gz,2,ItemAvailability,Book,textual
Book_autorepguide.com_September2020_CTA.json.gz,3,Number,Book,numerical
Book_awardsemmy.co_September2020_CTA.json.gz,7,Person/name,Book,textual
Book_awardsemmy.co_September2020_CTA.json.gz,5,Language,Book,textual
Book_babellibros.com_September2020_CTA.json.gz,8,currency,Book,textual
Book_badalnepal.co_September2020_CTA.json.gz,6,Person/name,Book,textual
Book_badalnepal.co_September2020_CTA.json.gz,5,Language,Book,textual
Book_bagatellebooks.com_September2020_CTA.json.gz,6,ItemAvailability,Book,textual
Book_bajalibros.com_September2020_CTA.json.gz,4,Language,Book,textual
Book_barnesandnoble.com_September2020_CTA.json.gz,7,Language,Book,textual
Book_bartlebysbooks.com_September2020_CTA.json.gz,4,ItemAvailability,Book,textual
Book_basementbooks.com.au_September2020_CTA.json.gz,7,currency,Book,textual
Book_batdongsanhoian.co_September2020_CTA.json.gz,2,Review,Book,textual
Book_bathspa.ac.uk_September2020_CTA.json.gz,2,Language,Book,textual
Book_bazarow.com_September2020_CTA.json.gz,5,Language,Book,textual
Book_bdebooks.com_September2020_CTA.json.gz,3,Number,Book,numerical
Book_benjamin-newton.com_September2020_CTA.json.gz,3,Date,Book,date
Book_benjamin-newton.com_September2020_CTA.json.gz,4,Language,Book,textual
Book_benjamins.com_September2020_CTA.json.gz,6,Language,Book,textual
Book_berneboek.com_September2020_CTA.json.gz,5,ItemAvailability,Book,textual
Book_bernettpenka.com_September2020_CTA.json.gz,4,ItemAvailability,Book,textual
Book_beyondthepanel.net_September2020_CTA.json.gz,3,Review,Book,textual
Book_biblio.bg_September2020_CTA.json.gz,4,ItemAvailability,Book,textual
Book_biblio.co.uk_September2020_CTA.json.gz,1,IdentifierAT,Book,numerical
Book_biblio.co.uk_September2020_CTA.json.gz,4,ItemAvailability,Book,textual
Book_biblio.co.uk_September2020_CTA.json.gz,6,OfferItemCondition,Book,textual
Book_biblio.co.uk_September2020_CTA.json.gz,7,currency,Book,textual
Book_biblio.com_September2020_CTA.json.gz,5,Date,Book,date
Book_bibliomania.ws_September2020_CTA.json.gz,6,ItemAvailability,Book,textual
Book_bijbelkioskhoekschewaard.nl_September2020_CTA.json.gz,5,ItemAvailability,Book,textual
Book_biz-book.com.ua_September2020_CTA.json.gz,4,currency,Book,textual
Book_biz.ua_September2020_CTA.json.gz,6,currency,Book,textual
Book_bledsoebooks.com_September2020_CTA.json.gz,4,ItemAvailability,Book,textual
Book_bluebuble.co.uk_September2020_CTA.json.gz,6,Person/name,Book,textual
Book_body-massage.co_September2020_CTA.json.gz,6,Person/name,Book,textual
Book_boekhandelsmit.nl_September2020_CTA.json.gz,6,currency,Book,textual
Book_boekhandelvandervelde.nl_September2020_CTA.json.gz,2,currency,Book,textual
Book_bokon.se_September2020_CTA.json.gz,6,currency,Book,textual
Book_bol.de_September2020_CTA.json.gz,6,currency,Book,textual
Book_boldstrokesbooks.com_September2020_CTA.json.gz,2,Date,Book,date
Book_boo-hooray.com_September2020_CTA.json.gz,3,currency,Book,textual
Book_bookfusion.com_September2020_CTA.json.gz,3,IdentifierAT,Book,textual
Book_bookfusion.com_September2020_CTA.json.gz,4,currency,Book,textual
Book_bookhorde.org_September2020_CTA.json.gz,3,Review,Book,textual
Book_booklifepublishing.co.uk_September2020_CTA.json.gz,11,currency,Book,textual
Book_books-express.ro_September2020_CTA.json.gz,8,currency,Book,textual
Book_booksjuice.com_September2020_CTA.json.gz,2,IdentifierAT,Book,numerical
Book_booksjuice.com_September2020_CTA.json.gz,6,Date,Book,date
Book_booktrust.org.uk_September2020_CTA.json.gz,3,Number,Book,numerical
Book_booktrust.org.uk_September2020_CTA.json.gz,4,Review,Book,textual
Book_bookvica.com_September2020_CTA.json.gz,3,Person/name,Book,textual
Book_bookvica.com_September2020_CTA.json.gz,6,currency,Book,textual
Book_borges.ai_September2020_CTA.json.gz,3,Review,Book,textual
Book_bossfightbooks.com_September2020_CTA.json.gz,2,Date,Book,date
Book_bouquinistes.be_September2020_CTA.json.gz,3,currency,Book,textual
Book_brusheducation.ca_September2020_CTA.json.gz,6,Date,Book,date
Book_bubblin.io_September2020_CTA.json.gz,1,Person/name,Book,textual
Book_buecher.de_September2020_CTA.json.gz,4,OfferItemCondition,Book,textual
Book_buechertreff.de_September2020_CTA.json.gz,1,IdentifierAT,Book,numerical
Book_buechertreff.de_September2020_CTA.json.gz,4,Person/name,Book,textual
Book_buechertreff.de_September2020_CTA.json.gz,7,Number,Book,numerical
Book_buechertreff.de_September2020_CTA.json.gz,8,Number,Book,numerical
Book_buechertreff.de_September2020_CTA.json.gz,10,Number,Book,numerical
Book_buscalibre.com.co_September2020_CTA.json.gz,5,OfferItemCondition,Book,textual
Book_buscalibre.us_September2020_CTA.json.gz,10,OfferItemCondition,Book,textual
Book_buyprobolan50.co.uk_September2020_CTA.json.gz,8,Person/name,Book,textual
Book_bwb.co.nz_September2020_CTA.json.gz,3,Date,Book,date
Book_canadianscholars.ca_September2020_CTA.json.gz,7,Review,Book,textual
Book_catoandmacro.com_September2020_CTA.json.gz,4,Date,Book,date
Book_celticmotorco.co.uk_September2020_CTA.json.gz,7,Person/name,Book,textual
Book_centroeinaudi.it_September2020_CTA.json.gz,2,Number,Book,numerical
Book_centrumpowypadkowe.co.uk_September2020_CTA.json.gz,9,Person/name,Book,textual
Book_cheekyscientist.com_September2020_CTA.json.gz,9,Number,Book,numerical
Book_clcitaly.com_September2020_CTA.json.gz,5,IdentifierAT,Book,numerical
Book_clcromania.ro_September2020_CTA.json.gz,8,OfferItemCondition,Book,textual
Book_clinback.co_September2020_CTA.json.gz,3,Review,Book,textual
Book_cocempire.co_September2020_CTA.json.gz,6,Person/name,Book,textual
Book_conservativebookclub.com_September2020_CTA.json.gz,3,Number,Book,numerical
Book_conservativesolutions.co_September2020_CTA.json.gz,6,Person/name,Book,textual
Book_creetiq.com_September2020_CTA.json.gz,3,Number,Book,numerical
Book_creetiq.com_September2020_CTA.json.gz,6,Date,Book,date
Book_crimefiles.co.uk_September2020_CTA.json.gz,4,Date,Book,date
Book_deborahmoggach.com_September2020_CTA.json.gz,4,Date,Book,date
Book_degatos.website_September2020_CTA.json.gz,2,Date,Book,date
Book_delreylibreria.com_September2020_CTA.json.gz,4,Date,Book,date
Book_delreylibreria.com_September2020_CTA.json.gz,8,Person/name,Book,textual
Book_denhamgreene-actprimaryacademy.org.uk_September2020_CTA.json.gz,8,Person/name,Book,textual
Book_dianereviewsbooks.com_September2020_CTA.json.gz,2,Review,Book,textual
Book_diffordsguide.com_September2020_CTA.json.gz,2,Number,Book,numerical
Book_diffordsguide.com_September2020_CTA.json.gz,3,Number,Book,numerical
Book_diffordsguide.com_September2020_CTA.json.gz,6,Number,Book,numerical
Book_diflucan.space_September2020_CTA.json.gz,5,Date,Book,date
Book_drinkhacker.com_September2020_CTA.json.gz,4,Review,Book,textual
Book_duifhuizenboeken.nl_September2020_CTA.json.gz,1,Person/name,Book,textual
Book_dwjcolourprint.co.uk_September2020_CTA.json.gz,6,Person/name,Book,textual
Book_e-reading.club_September2020_CTA.json.gz,10,Number,Book,numerical
Book_e-reading.club_September2020_CTA.json.gz,11,Number,Book,numerical
Book_edenyale.co.uk_September2020_CTA.json.gz,6,Person/name,Book,textual
Book_edinburghbookreview.co.uk_September2020_CTA.json.gz,2,Review,Book,textual
Book_egoarchive.com_September2020_CTA.json.gz,3,Date,Book,date
Book_englishforforeignersonline.com_September2020_CTA.json.gz,4,Review,Book,textual
Book_essayreview.co.uk_September2020_CTA.json.gz,10,Review,Book,textual
Book_exlib.net_September2020_CTA.json.gz,2,Number,Book,numerical
Book_familius.com_September2020_CTA.json.gz,2,IdentifierAT,Book,textual
Book_fanclub-vincentgross.de_September2020_CTA.json.gz,3,OfferItemCondition,Book,textual
Book_fantasybookreview.co.uk_September2020_CTA.json.gz,4,Number,Book,numerical
Book_fantasybookreview.co.uk_September2020_CTA.json.gz,6,Number,Book,numerical
Book_fantasybookreview.co.uk_September2020_CTA.json.gz,5,Review,Book,textual
Book_fau.de_September2020_CTA.json.gz,2,IdentifierAT,Book,textual
Book_french-bookys.org_September2020_CTA.json.gz,3,IdentifierAT,Book,textual
Book_fritshardeman.nl_September2020_CTA.json.gz,6,IdentifierAT,Book,numerical
Book_gaststaettewuensch.de_September2020_CTA.json.gz,6,OfferItemCondition,Book,textual
Book_gasztroabc.hu_September2020_CTA.json.gz,1,IdentifierAT,Book,textual
Book_hoepli.it_September2020_CTA.json.gz,9,OfferItemCondition,Book,textual
Book_hogrefe.com_September2020_CTA.json.gz,1,IdentifierAT,Book,numerical
Book_hotandlittlethings.fr_September2020_CTA.json.gz,5,OfferItemCondition,Book,textual
Book_ibfd.org_September2020_CTA.json.gz,1,IdentifierAT,Book,textual
Book_ifis.org.uk_September2020_CTA.json.gz,5,IdentifierAT,Book,numerical
Book_johnstonlibrary.com_September2020_CTA.json.gz,2,Review,Book,textual
Book_kazneb.kz_September2020_CTA.json.gz,5,IdentifierAT,Book,textual
Book_kdnovelties.com_September2020_CTA.json.gz,5,OfferItemCondition,Book,textual
Book_kirkusreviews.com_September2020_CTA.json.gz,5,Review,Book,textual
Book_knihyprekazdeho.sk_September2020_CTA.json.gz,7,OfferItemCondition,Book,textual
Book_la-confrerie.fr_September2020_CTA.json.gz,3,OfferItemCondition,Book,textual
Book_lanzhang.de_September2020_CTA.json.gz,4,OfferItemCondition,Book,textual
Book_laprocure.com_September2020_CTA.json.gz,2,IdentifierAT,Book,numerical
Book_lerma1896.com_September2020_CTA.json.gz,9,OfferItemCondition,Book,textual
Book_liberaliaediciones.com_September2020_CTA.json.gz,4,OfferItemCondition,Book,textual
Book_libreriauniversitaria.it_September2020_CTA.json.gz,4,OfferItemCondition,Book,textual
Book_libreriauniverso.it_September2020_CTA.json.gz,9,OfferItemCondition,Book,textual
Book_litlife.club_September2020_CTA.json.gz,4,IdentifierAT,Book,textual
Book_marta-press.de_September2020_CTA.json.gz,5,OfferItemCondition,Book,textual
Book_mcpl.us_September2020_CTA.json.gz,3,Review,Book,textual
Book_mcsports.es_September2020_CTA.json.gz,1,IdentifierAT,Book,numerical
Book_mdesignsolutions.co.uk_September2020_CTA.json.gz,10,Review,Book,textual
Book_nobelcastellar.com_September2020_CTA.json.gz,3,IdentifierAT,Book,textual
Book_openbooks.com_September2020_CTA.json.gz,6,Review,Book,textual
Book_otherwiseaward.org_September2020_CTA.json.gz,4,Review,Book,textual
Book_pou.hr_September2020_CTA.json.gz,1,IdentifierAT,Book,textual
Book_uchile.cl_September2020_CTA.json.gz,5,URL,Book,textual
Book_wisc.edu_September2020_CTA.json.gz,6,URL,Book,textual
Movie_000123movies.com_September2020_CTA.json.gz,2,Duration,Movie,textual
Movie_000123movies.com_September2020_CTA.json.gz,0,Movie/name,Movie,textual
Movie_000123movies.com_September2020_CTA.json.gz,3,Rating,Movie,textual
Movie_0123movies.run_September2020_CTA.json.gz,3,Duration,Movie,numerical
Movie_0123movies.run_September2020_CTA.json.gz,0,Movie/name,Movie,textual
Movie_0123movieshub.site_September2020_CTA.json.gz,4,Duration,Movie,numerical
Movie_100bestmovies.ru_September2020_CTA.json.gz,0,Movie/name,Movie,textual
Movie_103.194.171.205_September2020_CTA.json.gz,0,Movie/name,Movie,textual
Movie_10s.live_September2020_CTA.json.gz,0,Movie/name,Movie,textual
Movie_10s.live_September2020_CTA.json.gz,5,Duration,Movie,textual
Movie_111.90.150.31_September2020_CTA.json.gz,2,Duration,Movie,textual
Movie_111.90.150.31_September2020_CTA.json.gz,0,Movie/name,Movie,textual
Movie_111.90.150.31_September2020_CTA.json.gz,3,Rating,Movie,textual
Movie_123-gomovies.com_September2020_CTA.json.gz,0,Movie/name,Movie,textual
Movie_123-gomovies.com_September2020_CTA.json.gz,2,Duration,Movie,numerical
Movie_123-gomovies.com_September2020_CTA.json.gz,3,URL,Movie,textual
Movie_123-movies.club_September2020_CTA.json.gz,0,Movie/name,Movie,textual
Movie_123-movies.club_September2020_CTA.json.gz,2,Duration,Movie,textual
Movie_1234-movies.com_September2020_CTA.json.gz,0,Movie/name,Movie,textual
Movie_1234-movies.com_September2020_CTA.json.gz,3,Duration,Movie,textual
Movie_1234-movies.com_September2020_CTA.json.gz,4,URL,Movie,textual
Movie_123cineplex.com_September2020_CTA.json.gz,3,Duration,Movie,numerical
Movie_123cineplex.com_September2020_CTA.json.gz,1,Movie/name,Movie,textual
Movie_123films.cc_September2020_CTA.json.gz,0,Movie/name,Movie,textual
Movie_123films.cc_September2020_CTA.json.gz,2,Duration,Movie,numerical
Movie_123films.cc_September2020_CTA.json.gz,3,URL,Movie,textual
Movie_123gofmovies.com_September2020_CTA.json.gz,4,Duration,Movie,textual
Movie_123movie.ec_September2020_CTA.json.gz,0,Movie/name,Movie,textual
Movie_123movie.ec_September2020_CTA.json.gz,3,URL,Movie,textual
Movie_123moviefree.online_September2020_CTA.json.gz,2,Duration,Movie,numerical
Movie_123movieonline.xyz_September2020_CTA.json.gz,0,Movie/name,Movie,textual
Movie_123movieonline.xyz_September2020_CTA.json.gz,3,URL,Movie,textual
Movie_123movieonline.xyz_September2020_CTA.json.gz,4,Duration,Movie,textual
Movie_123movies-fun.com_September2020_CTA.json.gz,1,Movie/name,Movie,textual
Movie_123movies-fun.com_September2020_CTA.json.gz,4,URL,Movie,textual
Movie_123movies.church_September2020_CTA.json.gz,0,Movie/name,Movie,textual
Movie_123movies.church_September2020_CTA.json.gz,3,Duration,Movie,textual
Movie_123movies.church_September2020_CTA.json.gz,5,URL,Movie,textual
Movie_123movies.fish_September2020_CTA.json.gz,0,Movie/name,Movie,textual
Movie_123movies.haus_September2020_CTA.json.gz,1,Movie/name,Movie,textual
Movie_123movies.haus_September2020_CTA.json.gz,5,URL,Movie,textual
Movie_123movies.mx_September2020_CTA.json.gz,2,Duration,Movie,textual
Movie_123movies.mx_September2020_CTA.json.gz,0,Movie/name,Movie,textual
Movie_123movies.mx_September2020_CTA.json.gz,9,Rating,Movie,textual
Movie_123movies.organic_September2020_CTA.json.gz,0,Movie/name,Movie,textual
Movie_123movies.organic_September2020_CTA.json.gz,3,URL,Movie,textual
Movie_123movies.organic_September2020_CTA.json.gz,4,Duration,Movie,textual
Movie_123movies.pictures_September2020_CTA.json.gz,0,Movie/name,Movie,textual
Movie_123movies.pictures_September2020_CTA.json.gz,2,Duration,Movie,numerical
Movie_123movies.pictures_September2020_CTA.json.gz,3,URL,Movie,textual
Movie_123movies.town_September2020_CTA.json.gz,3,URL,Movie,textual
Movie_123movies.town_September2020_CTA.json.gz,4,Duration,Movie,textual
Movie_123movies.website_September2020_CTA.json.gz,2,Duration,Movie,textual
Movie_123movies.wine_September2020_CTA.json.gz,5,Duration,Movie,numerical
Movie_123moviesbox.com_September2020_CTA.json.gz,5,Rating,Movie,textual
Movie_123moviesfree.guru_September2020_CTA.json.gz,2,URL,Movie,textual
Movie_123moviesla.com_September2020_CTA.json.gz,5,URL,Movie,textual
Movie_123moviesonlinefree.org_September2020_CTA.json.gz,4,Rating,Movie,textual
Movie_123moviespad2.com_September2020_CTA.json.gz,3,URL,Movie,textual
Movie_123moviess.gdn_September2020_CTA.json.gz,5,URL,Movie,textual
Movie_123telugumovie1.online_September2020_CTA.json.gz,7,Country,Movie,textual
Movie_172.96.189.133_September2020_CTA.json.gz,3,URL,Movie,textual
Movie_178.128.119.15_September2020_CTA.json.gz,9,URL,Movie,textual
Movie_204.48.22.58_September2020_CTA.json.gz,4,URL,Movie,textual
Movie_20thcenturystudios.co.nz_September2020_CTA.json.gz,2,Rating,Movie,textual
Movie_4688v6r.cn_September2020_CTA.json.gz,9,Rating,Movie,textual
Movie_5movierulzfree.me_September2020_CTA.json.gz,5,Country,Movie,textual
Movie_alloverglobe.com_September2020_CTA.json.gz,3,Rating,Movie,textual
Movie_amctheatres.com_September2020_CTA.json.gz,3,Rating,Movie,textual
Movie_anilist.co_September2020_CTA.json.gz,2,Country,Movie,textual
Movie_animensmoke.com_September2020_CTA.json.gz,4,Rating,Movie,textual
Movie_appmoob.com_September2020_CTA.json.gz,3,Rating,Movie,textual
Movie_asyadizileri.net_September2020_CTA.json.gz,4,Country,Movie,textual
Movie_b4watch.com_September2020_CTA.json.gz,3,Rating,Movie,textual
Movie_bestindianseries.com_September2020_CTA.json.gz,3,Rating,Movie,textual
Movie_bingedb.com_September2020_CTA.json.gz,3,Rating,Movie,textual
Movie_bingj.com_September2020_CTA.json.gz,4,Rating,Movie,textual
Movie_bollywoodmdb.com_September2020_CTA.json.gz,5,Country,Movie,textual
Movie_boxofficebuz.com_September2020_CTA.json.gz,3,Rating,Movie,textual
Movie_catmoviez.com_September2020_CTA.json.gz,6,Rating,Movie,textual
Movie_cbsig.net_September2020_CTA.json.gz,2,Rating,Movie,textual
Movie_ccmovies.org_September2020_CTA.json.gz,3,Rating,Movie,textual
Movie_cia.edu_September2020_CTA.json.gz,2,Country,Movie,textual
Movie_cinefun.co_September2020_CTA.json.gz,6,Rating,Movie,textual
Movie_cinematheque-leipzig.de_September2020_CTA.json.gz,5,Country,Movie,textual
Movie_clevelandfilm.org_September2020_CTA.json.gz,5,Country,Movie,textual
Movie_criticker.com_September2020_CTA.json.gz,5,Country,Movie,textual
Movie_crossingeurope.at_September2020_CTA.json.gz,2,Country,Movie,textual
Movie_dlastudenta.pl_September2020_CTA.json.gz,2,Country,Movie,textual
Movie_entertainment.ie_September2020_CTA.json.gz,5,Country,Movie,textual
Movie_fernsehserien.de_September2020_CTA.json.gz,6,Country,Movie,textual
Movie_film.nu_September2020_CTA.json.gz,8,Country,Movie,textual
Movie_filmelier.com_September2020_CTA.json.gz,5,Country,Movie,textual
Movie_flicks.co.nz_September2020_CTA.json.gz,5,Country,Movie,textual
Movie_flicks.com.au_September2020_CTA.json.gz,5,Country,Movie,textual
Movie_freshmovies.tv_September2020_CTA.json.gz,6,Country,Movie,textual
Movie_full1080pfilmizle.com_September2020_CTA.json.gz,4,Country,Movie,textual
Movie_ivid.it_September2020_CTA.json.gz,12,Country,Movie,textual
Product_1800lighting.com_September2020_CTA.json.gz,8,Product/name,Product,textual
Product_1820bagco.com_September2020_CTA.json.gz,3,weight,Product,textual
Product_2-speed.de_September2020_CTA.json.gz,10,weight,Product,textual
Product_21snack.com_September2020_CTA.json.gz,2,weight,Product,textual
Product_2bice.com_September2020_CTA.json.gz,0,Product/name,Product,textual
Product_2feettall.co.nz_September2020_CTA.json.gz,0,Product/name,Product,textual
Product_2kool4skool.com_September2020_CTA.json.gz,6,weight,Product,textual
Product_2nd-flight.de_September2020_CTA.json.gz,3,category,Product,numerical
Product_3deksperten.dk_September2020_CTA.json.gz,4,weight,Product,textual
Product_3dprinterstuff.com_September2020_CTA.json.gz,5,category,Product,numerical
Product_3sixtgear.com_September2020_CTA.json.gz,0,Product/name,Product,textual
Product_420science.com_September2020_CTA.json.gz,14,weight,Product,textual
Product_4evafit.com_September2020_CTA.json.gz,1,Product/name,Product,textual
Product_4pawscanineacademy.com_September2020_CTA.json.gz,7,weight,Product,numerical
Product_4ufh.com_September2020_CTA.json.gz,4,weight,Product,textual
Product_6l.com.br_September2020_CTA.json.gz,2,weight,Product,textual
Product_80hd.us_September2020_CTA.json.gz,7,weight,Product,textual
Product_a-ftnss.com_September2020_CTA.json.gz,2,category,Product,textual
Product_a-ftnss.com_September2020_CTA.json.gz,20,weight,Product,numerical
Product_a-zfurnitureoutlet.com_September2020_CTA.json.gz,1,Product/name,Product,textual
Product_a-zfurnitureoutlet.com_September2020_CTA.json.gz,3,category,Product,textual
Product_a1solarstore.com_September2020_CTA.json.gz,4,weight,Product,textual
Product_aarecoverymedallionengraving.com_September2020_CTA.json.gz,0,Product/name,Product,textual
Product_abaniandco.com_September2020_CTA.json.gz,2,category,Product,textual
Product_abysstours.com_September2020_CTA.json.gz,1,Product/name,Product,textual
Product_academicsoul.com_September2020_CTA.json.gz,6,weight,Product,textual
Product_acceleratedartist.com_September2020_CTA.json.gz,0,Product/name,Product,textual
Product_acceleratedartist.com_September2020_CTA.json.gz,3,category,Product,textual
Product_accupower.at_September2020_CTA.json.gz,6,weight,Product,textual
