table_name,table,labels,domain,domains,page_title,section_title,headers
27293641-4,"[[[[3, 0], [16507656, '"" The Opera Song (Brave New World) "" ( Jurgen Vries featuring CMC)']], [[4, 0], [4786452, '"" Crazy Chick ""']], [[5, 0], [4691057, '"" Call My Name ""']], [[6, 0], [5553509, '"" Even God Can\'t Change the Past ""']], [[7, 0], [5320006, '"" Moodswings (to Come at Me like That) ""']]]]",[['music.composition']],music,{'music'},charlotte church discography,singles,['single single']
27294066-1,"[[[[0, 0], [89446, 'Chow Yun-fat']], [[5, 0], [1348237, 'Sean Lau']], [[7, 0], [1891653, 'Kenneth Tsang']], [[14, 0], [22463905, 'Kwan Hoi-san']]]]","[['film.actor', 'tv.tv_actor', 'people.person']]",film,"{'film', 'tv', 'people'}",the battle among the clans,cast,['cast']
27301979-2,"[[[[0, 0], [26346757, '"" Dream Lover "" (Welcomez Shōnan no Kaze , Minmi , Moomin )']], [[1, 0], [56801788, '"" Manatsu no Orion "" ( 真夏のオリオン Midsummer Orion ? ) (Welcomez Minmi, 10-Feet )']], [[2, 0], [37757095, '"" Itsumademo Merry Christmas "" ( いつまでもメリークリスマス Merry Christmas ? ) (Welcomez Shock Eye from Shōnan no Kaze, Munehiro )']], [[3, 0], [3806983, '""Jealousy"" ( ジェラシー Jerashī ? ) (Welcomez Jesse from Rize )']], [[7, 0], [25792470, '"" Tsutaetai Koto ga Konna Aru noni "" ( 伝えたい事がこんなあるのに I Have Stuff to Tell You, But ? ) (Welcomez Wakadanna from Shōnan no Kaze, Jay\'ed )']]]]",[['music.artist']],music,{'music'},infinity 16,singles,['title title']
2730206-1,"[[[[0, 0], [12986359, 'King Dinosaur']], [[1, 0], [12401202, 'The Cyclops']], [[2, 0], [339516, 'The Amazing Colossal Man']], [[3, 0], [948706, 'Beginning of the End']], [[4, 0], [10940708, 'Earth vs. the Spider']], [[5, 0], [7028102, 'War of the Colossal Beast']], [[6, 0], [9038322, 'Attack of the Puppet People']], [[7, 0], [6667989, 'Tormented']], [[8, 0], [6276851, 'The Boy and the Pirates']], [[9, 0], [5660641, 'The Magic Sword']], [[10, 0], [2433724, 'Village of the Giants']], [[11, 0], [29584795, 'Picture Mommy Dead']], [[13, 0], [10668307, 'Necromancy']], [[15, 0], [7189073, 'The Food of the Gods']], [[16, 0], [2875397, 'Empire of the Ants']]]]",[['film.film']],film,{'film'},bert i. gordon,filmography,['title']
27302829-2,"[[[[1, 0], [34942818, 'My Kontrabida Girl']], [[2, 0], [33951053, 'Ang Panday 2']], [[3, 0], [31627556, 'Tween Academy: Class of 2012']], [[4, 0], [29783580, 'Si Agimat at Si Enteng Kabisote']]], [[[1, 1], [10335432, 'GMA Films']], [[2, 1], [10335432, 'GMA Films & IMUS Productions']], [[3, 1], [10335432, 'GMA Films']], [[4, 1], [10335432, 'GMA Films']]]]","[['film.film'], ['film.production_company', 'business.business_operation', 'organization.organization']]",film,"{'film', 'organization', 'business'}",bea binene,filmography,"['title', 'film production']"
27306717-1,"[[[[0, 0], [5676692, 'Iron Man']], [[1, 0], [5476946, 'The Incredible Hulk']], [[2, 0], [22144721, 'Iron Man 2']], [[3, 0], [12673434, 'Thor']], [[4, 0], [26999426, 'Captain America: The First Avenger']], [[5, 0], [22114132, ""Marvel's The Avengers""]], [[7, 0], [22144990, 'Iron Man 3']], [[8, 0], [32267545, 'Thor: The Dark World']], [[9, 0], [36439749, 'Captain America: The Winter Soldier']], [[10, 0], [36450985, 'Guardians of the Galaxy']], [[11, 0], [36484254, ""Marvel's The Avengers: Age of Ultron""]], [[13, 0], [36484005, 'Ant-Man']]], [[[0, 1], [316201, 'Jon Favreau']], [[1, 1], [1811731, 'Louis Leterrier']], [[3, 1], [101407, 'Kenneth Branagh']], [[4, 1], [3994403, 'Joe Johnston']], [[5, 1], [158079, 'Joss Whedon']], [[7, 1], [1703164, 'Shane Black']], [[8, 1], [3023017, 'Alan Taylor']], [[9, 1], [29129051, 'Joe and Anthony Russo']], [[10, 1], [2144497, 'James Gunn']], [[13, 1], [1328408, 'Edgar Wright']]]]","[['film.film'], ['film.director', 'people.person']]",film,"{'film', 'people'}",marvel cinematic universe,phase three,"['film', 'director(s)']"
27306717-2,"[[[[2, 0], [4580417, 'Clark Gregg']], [[3, 0], [54306, 'Samuel L. Jackson']], [[5, 0], [200563, 'Paul Bettany']], [[7, 0], [42621, 'Gwyneth Paltrow']], [[14, 0], [171045, 'Robert Downey, Jr.']]], [[[9, 1], [20913246, 'Scarlett Johansson']], [[10, 1], [635632, 'Garry Shandling']], [[13, 1], [6617452, 'John Slattery']]], [[[1, 2], [4148655, 'Jeremy Renner']], [[6, 2], [15003874, 'Tom Hiddleston']], [[11, 2], [534636, 'Stellan Skarsgård']], [[15, 2], [1221476, 'Chris Hemsworth']]], [[[0, 3], [723126, 'Mark Ruffalo']], [[4, 3], [2991300, 'Cobie Smulders']], [[8, 3], [1535704, 'Chris Evans']]]]","[['film.actor', 'tv.tv_actor', 'people.person'], ['film.actor', 'film.producer', 'film.writer', 'tv.tv_actor', 'people.person'], ['film.actor', 'tv.tv_actor', 'people.person'], ['film.actor', 'tv.tv_actor', 'people.person']]",film,"{'film', 'tv', 'people'}",marvel cinematic universe,recurring cast and characters,"['released films iron man', 'released films iron man 2', 'released films thor', ""released films marvel's the avengers""]"
27310255-1,"[[[[0, 0], [2486457, 'Bonded by Blood Released: April 25, 1985 Label: Torrid, Combat Formats: CD , CS , LP , DI']], [[1, 0], [2362882, 'Pleasures of the Flesh Released: October 7, 1987 Label: Combat Formats: CD, CS, LP, DI']], [[2, 0], [2358965, 'Fabulous Disaster Released: January 30, 1989 Label: Combat Formats: CD, CS, LP, DI']], [[3, 0], [3037310, 'Impact Is Imminent Released: June 21, 1990 Label: Capitol Formats: CD, CS, LP, DI']], [[4, 0], [3990593, 'Force of Habit Released: August 17, 1992 Label: Capitol Formats: CD, CS, LP, DI']], [[5, 0], [2319565, 'Tempo of the Damned Released: February 2, 2004 Label: Nuclear Blast Formats: CD, LP, DI']], [[6, 0], [3411376, 'Shovel Headed Kill Machine Released: October 4, 2005 Label: Nuclear Blast Formats: CD, LP, DI']], [[7, 0], [12879563, 'The Atrocity Exhibition... Exhibit A Released: October 23, 2007 Label: Nuclear Blast Formats: CD, LP, DI']], [[8, 0], [26287417, 'Exhibit B: The Human Condition Released: May 7, 2010 Label: Nuclear Blast Formats: CD, LP, DI']]]]",[['music.album']],music,{'music'},exodus discography,studio albums,['album details album details']
27310937-1,"[[[[0, 0], [183773, 'Billy Corgan Category:Articles with hCards']], [[1, 0], [24885113, 'Jeff Schroeder Category:Articles with hCards']], [[2, 0], [24377084, 'Mike Byrne Category:Articles with hCards']], [[3, 0], [27300480, 'Nicole Fiorentino Category:Articles with hCards']]], [[[0, 1], [162707, 'vocals , lead guitar , keyboards']], [[1, 1], [26587, 'rhythm guitar']], [[2, 1], [9079, 'drums , percussion']], [[3, 1], [3916, 'bass guitar , backing vocals']]]]","[['music.artist', 'music.group_member', 'people.person'], ['music.performance_role']]",music,"{'people', 'music'}",list of the smashing pumpkins band members,current,"['name', 'instruments']"
27310937-2,"[[[[0, 0], [202845, 'James Iha Category:Articles with hCards']], [[1, 0], [142678, 'Jimmy Chamberlin Category:Articles with hCards']], [[2, 0], [292590, ""D'arcy Wretzky Category:Articles with hCards""]], [[3, 0], [142687, 'Melissa Auf der Maur Category:Articles with hCards']]]]","[['music.producer', 'film.actor', 'music.group_member', 'music.artist', 'music.composer', 'people.person']]",music,"{'film', 'people', 'music'}",list of the smashing pumpkins band members,former,['name']
27310937-3,"[[[[0, 0], [11818786, 'Eric Remschneider Category:Articles with hCards']], [[1, 0], [773704, 'Jonathan Melvoin Category:Articles with hCards']], [[2, 0], [1220393, 'Matt Walker Category:Articles with hCards']], [[3, 0], [1608102, 'Dennis Flemion Category:Articles with hCards']], [[4, 0], [1608159, 'Kenny Aronoff Category:Articles with hCards']], [[6, 0], [26584255, 'Stephen Hodges Category:Articles with hCards']], [[7, 0], [20786807, 'Mike Garson Category:Articles with hCards']], [[8, 0], [31463, 'Chris Holmes Category:Articles with hCards']], [[9, 0], [11376609, 'Lisa Harriton Category:Articles with hCards']], [[10, 0], [11034983, 'Ginger Reyes Category:Articles with hCards']], [[11, 0], [17825377, 'Mark Tulin Category:Articles with hCards']], [[12, 0], [2574704, 'Linda Strawberry Category:Articles with hCards']]]]","[['music.artist', 'people.person']]",music,"{'people', 'music'}",list of the smashing pumpkins band members,former touring musicians,['name']
27310937-4,"[[[[0, 0], [1842340, 'Stephen Bradley Category:Articles with hCards']], [[1, 0], [1990169, 'Gabrial McNair Category:Articles with hCards']], [[2, 0], [17375071, 'Kristopher Pooley Category:Articles with hCards']], [[3, 0], [18579524, 'Gingger Shankar Category:Articles with hCards']]], [[[0, 1], [30353, 'trumpet']], [[1, 1], [29837, 'trombone']], [[2, 1], [1162, 'keyboards, accordion']]]]","[['people.person'], ['music.performance_role']]",music,"{'people', 'music'}",list of the smashing pumpkins band members,former temporary touring musicians,"['name', 'instruments']"
27311243-1,"[[[[0, 0], [6069742, 'Nevermore Release: February 14, 1995 Label: Century Media Formats: CD']], [[1, 0], [5832498, 'The Politics of Ecstasy Release: November 5, 1996 Label: Century Media Formats: CD']], [[2, 0], [3706787, 'Dreaming Neon Black Release: January 26, 1999 Label: Century Media Formats: CD']], [[3, 0], [1515022, 'Dead Heart in a Dead World Release: October 17, 2000 Label: Century Media Formats: CD']], [[4, 0], [1514979, 'Enemies of Reality Release: July 29, 2003 Label: Century Media Formats: CD']], [[5, 0], [2224617, 'This Godless Endeavor Release: July 26, 2005 Label: Century Media Formats: CD, LP']], [[6, 0], [23914900, 'The Obsidian Conspiracy Release: June 8, 2010 Label: Century Media Formats: CD']]]]",[['music.album']],music,{'music'},nevermore discography,studio albums,['album details album details']
6676655-1,"[[[[0, 0], [22055483, 'Playing for Time']], [[1, 0], [92706, ""Heaven's Gate""]], [[2, 0], [10577512, 'Skokie']], [[3, 0], [4016437, ""Sophie's Choice""]], [[4, 0], [4543239, 'Baby Boom']], [[5, 0], [129331, 'Moonstruck']], [[6, 0], [1496622, 'Lean on Me']], [[7, 0], [24878469, 'See You in the Morning']], [[8, 0], [1320650, 'Crimes and Misdemeanors']], [[9, 0], [21675573, 'Postcards from the Edge']], [[10, 0], [473212, 'Alice']], [[11, 0], [6643402, 'If Looks Could Kill']], [[12, 0], [4427791, 'Regarding Henry']], [[13, 0], [4213209, 'Deceived']], [[14, 0], [11699514, '12:01']], [[15, 0], [1476567, 'Dangerous Minds']], [[16, 0], [4200027, 'Honey, We Shrunk Ourselves']], [[17, 0], [159171, 'City of Angels']], [[18, 0], [4340789, 'The Dying Gaul']], [[19, 0], [13950959, 'Shutter Island']], [[20, 0], [34604057, 'Inside Llewyn Davis']]]]",[['film.film']],film,{'film'},robin bartlett,film,['title']
6680122-1,"[[[[0, 0], [2633662, 'Mahesh Babu']], [[1, 0], [7946994, 'Rakshita']], [[2, 0], [32409278, 'Ranganath']], [[3, 0], [14260410, 'Rameshwari']], [[4, 0], [6090270, 'Gopichand']], [[5, 0], [9321409, 'Raasi']], [[6, 0], [26082138, 'Jaya Prakash Reddy']], [[7, 0], [3674134, 'Prakash Raj']], [[8, 0], [8045151, 'Kanta Rao']], [[9, 0], [29482178, 'Rallapalli']], [[10, 0], [15074704, 'Vijayachander']], [[11, 0], [13774370, 'Dharmavarapu Subrahmanyam']]]]","[['film.actor', 'people.person']]",film,"{'film', 'people'}",nijam,cast,['actor/actress']
6682195-1,"[[[[0, 0], [69346, 'soprano']], [[2, 0], [5221426, 'haute-contre']], [[3, 0], [180149, 'mezzo-soprano']], [[4, 0], [21438575, 'bass']], [[6, 0], [70502, 'baritone']]]]",[['music.performance_role']],music,{'music'},les arts florissants (opera),roles,['voice type']
668487-1,"[[[[0, 0], [188012, '1995']], [[1, 0], [260240, '1996']], [[2, 0], [260254, '1997']], [[3, 0], [188027, '1998']], [[4, 0], [198689, '1999']], [[5, 0], [303592, '2000']], [[6, 0], [196322, '2001']], [[7, 0], [150148, '2002']], [[8, 0], [185387, '2003']], [[9, 0], [462402, '2004']], [[10, 0], [1500696, '2005']], [[11, 0], [3585503, '2006']], [[12, 0], [6799376, '2007']], [[13, 0], [11569983, '2008']], [[14, 0], [16784959, '2009']], [[15, 0], [21457996, '2010']], [[16, 0], [24264184, '2011']], [[17, 0], [32162563, '2012']], [[18, 0], [34496538, '2013']]], [[[0, 1], [161232, 'Boyz II Men']], [[1, 1], [169414, 'TLC']], [[2, 1], [6517202, 'Tony Rich Category:Articles with hCards']], [[3, 1], [173129, 'Erykah Badu Category:Articles with hCards']], [[4, 1], [162864, 'Lauryn Hill Category:Articles with hCards']], [[5, 1], [169414, 'TLC']], [[6, 1], [168308, ""D'Angelo""]], [[7, 1], [59720, 'Alicia Keys Category:Articles with hCards']], [[8, 1], [956078, 'India.Arie']], [[9, 1], [249167, 'Luther Vandross Category:Articles with hCards']], [[10, 1], [59720, 'Alicia Keys Category:Articles with hCards']], [[11, 1], [1575279, 'John Legend Category:Articles with hCards']], [[12, 1], [214210, 'Mary J. Blige Category:Articles with hCards']], [[13, 1], [346473, 'Chaka Khan Category:Articles with hCards']], [[14, 1], [518700, 'Jennifer Hudson Category:Articles with hCards']], [[15, 1], [2395102, 'Maxwell']], [[16, 1], [1575279, 'John Legend Category:Articles with hCards and The Roots']], [[17, 1], [2627820, 'Chris Brown']], [[18, 1], [7212077, 'Robert Glasper Experiment']]], [[[0, 2], [3434750, 'United States']], [[1, 2], [3434750, 'United States']], [[2, 2], [3434750, 'United States']], [[3, 2], [3434750, 'United States']], [[4, 2], [3434750, 'United States']], [[5, 2], [3434750, 'United States']], [[6, 2], [3434750, 'United States']], [[7, 2], [3434750, 'United States']], [[8, 2], [3434750, 'United States']], [[9, 2], [3434750, 'United States']], [[10, 2], [3434750, 'United States']], [[11, 2], [3434750, 'United States']], [[12, 2], [3434750, 'United States']], [[13, 2], [3434750, 'United States']], [[14, 2], [3434750, 'United States']], [[15, 2], [3434750, 'United States']], [[16, 2], [3434750, 'United States']], [[17, 2], [3434750, 'United States']], [[18, 2], [3434750, 'United States']]], [[[0, 3], [2163323, 'II']], [[1, 3], [301636, 'CrazySexyCool']], [[2, 3], [19207766, 'Words']], [[3, 3], [195830, 'Baduizm']], [[4, 3], [194617, 'The Miseducation of Lauryn Hill']], [[5, 3], [852868, 'FanMail']], [[6, 3], [202671, 'Voodoo']], [[7, 3], [497558, 'Songs in A Minor']], [[8, 3], [4096702, 'Voyage to India']], [[9, 3], [2851413, 'Dance with My Father']], [[10, 3], [1632900, 'The Diary of Alicia Keys']], [[11, 3], [1937260, 'Get Lifted']], [[12, 3], [3313077, 'The Breakthrough']], [[13, 3], [13633021, 'Funk This']], [[14, 3], [17877250, 'Jennifer Hudson']], [[15, 3], [22563962, ""BLACKsummers'night""]], [[16, 3], [28870831, 'Wake Up!']], [[17, 3], [29295019, 'F.A.M.E.']], [[18, 3], [36980301, 'Black Radio']]], [[[0, 4], [655073, ""Anita Baker – Rhythm of Love Tevin Campbell – I'm Ready Gladys Knight – Just for You Me'Shell NdegéOcello – Plantation Lullabies Luther Vandross – Songs""]], [[1, 4], [214210, ""Mary J. Blige – My Life D'Angelo – Brown Sugar Prince – The Gold Experience Barry White – The Icon Is Love""]], [[2, 4], [2776889, ""Oleta Adams – Moving On Maxwell – Maxwell's Urban Hang Suite Curtis Mayfield – New World Order Me'Shell NdegéOcello – Peace Beyond Passion""]], [[3, 4], [495150, ""Babyface – The Day Mary J. Blige – Share My World Boyz II Men – Evolution Patti LaBelle – Flame Whitney Houston – The Preacher's Wife: Original Soundtrack Album""]], [[4, 4], [173129, 'Erykah Badu – Live Brandy – Never Say Never Aretha Franklin – A Rose Is Still a Rose Maxwell – Embrya']], [[5, 4], [214210, 'Mary J. Blige – Mary Whitney Houston – My Love Is Your Love R. Kelly – R. Brian McKnight – Back at One']], [[6, 4], [161232, 'Boyz II Men – Nathan Michael Shawn Wanya Toni Braxton – The Heat Joe – My Name Is Joe Jill Scott – Who Is Jill Scott? Words and Sounds Vol. 1 Sisqó – Unleash the Dragon']], [[7, 4], [2144, ""Aaliyah – Aaliyah India.Arie – Acoustic Soul Mary J. Blige – No More Drama Destiny's Child – Survivor""]], [[8, 4], [835997, 'Joe – Better Days Musiq – Juslisen Raphael Saadiq – Instant Vintage Remy Shand – The Way I Feel']], [[9, 4], [173129, 'Erykah Badu – Worldwide Underground Blu Cantrell – Bittersweet Aretha Franklin – So Damn Happy The Isley Brothers – Body Kiss']], [[10, 4], [655073, ""Anita Baker – My Everything Al Green – I Can't Stop Prince – Musicology Jill Scott – Beautifully Human: Words and Sounds Vol. 2""]], [[11, 4], [467400, 'Fantasia – Free Yourself Earth, Wind & Fire – Illumination Alicia Keys – Unplugged Stevie Wonder – A Time to Love']], [[12, 4], [325191, 'Jamie Foxx – Unpredictable India.Arie – Testimony: Vol. 1, Life & Relationship Prince – 3121 Lionel Richie – Coming Home']], [[13, 4], [12965604, 'Ledisi – Lost & Found Musiq Soulchild – Luvanmusiq Jill Scott – The Real Thing: Words and Sounds Vol. 3 Tank – Sex, Love & Pain']], [[14, 4], [1015573, 'Eric Benét – Love & Life Boyz II Men – Motown: A Journey Through Hitsville USA Al Green – Lay It Down Raphael Saadiq – The Way I See It']], [[15, 4], [2295768, 'Anthony Hamilton – The Point of It All India.Arie – Testimony: Vol. 2, Love & Politics Ledisi – Turn Me Loose Charlie Wilson – Uncle Charlie']], [[16, 4], [5578858, 'Raheem DeVaughn – The Love & War MasterPeace Fantasia – Back to Me Jaheim – Another Round Monica – Still Standing']], [[17, 4], [1689439, 'El DeBarge – Second Chance Ledisi – Pieces of Me Kelly Price – Kelly R. Kelly – Love Letter']], [[18, 4], [2295768, 'Anthony Hamilton for Back to Love R. Kelly for Write Me Back Tamia for Beautiful Surprise Tyrese for Open Invitation']]]]","[['award.award_ceremony', 'time.event'], ['music.artist', 'music.group_member', 'people.person'], ['location.country', 'location.administrative_division', 'location.location'], ['music.album'], ['broadcast.artist', 'music.group_member', 'people.person', 'music.artist']]",music,"{'people', 'broadcast', 'award', 'time', 'music', 'location'}",grammy award for best r&b album,recipients,"['year', 'performing artist(s)', 'nationality', 'work', 'nominees']"
668505-1,"[[[[0, 0], [4833048, 'Out from Boneville (originally released as The Complete Bone Adventures volume 1)']], [[1, 0], [4885884, 'The Great Cow Race (originally released as The Complete Bone Adventures volume 2)']], [[2, 0], [4885892, 'Eyes of the Storm (originally released, minus issue 19, as The Complete Bone Adventures volume 3)']], [[3, 0], [4885935, 'The Dragonslayer']], [[4, 0], [4885944, 'Rock Jaw: Master of the Eastern Border']], [[5, 0], [4885948, ""Old Man's Cave""]], [[6, 0], [4885951, 'Ghost Circles']], [[7, 0], [6724075, 'Treasure Hunters']], [[8, 0], [4885959, 'Crown of Horns']]]]","[['book.written_work', 'book.book']]",book,{'book'},bone (comics),individual volumes,['title']
66855-1,"[[[[0, 0], [935933, 'Warner Bros. Records']], [[2, 0], [935933, 'Warner Bros. Records']], [[4, 0], [935933, 'Warner Bros. Records']]]]","[['music.record_label', 'business.business_operation', 'organization.organization']]",music,"{'business', 'organization', 'music'}",weta (band),discography,['label']
